建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
實齋,Dormitory Shyr,10.5,3,62.2,25.1,1105.7,3317.0,,dormitory,,,180546708
天主聖神堂,Holy Spirit Catholic Church,10.43,,26.9,32.7,417.8,,鋼筋混凝土(RC),church,10.43,2CDFD72M4Q,405993437
南校區實驗室廢水處理廠,,10.42,,28.2,26.1,371.8,,鋼筋混凝土(RC),university,10.42,2C1DD72GSG,180607988
,,10.4,,18.4,20.8,178.4,,磚造,yes,10.40,2C6N472N4H,729377556
,,10.4,,43.5,62.4,1625.4,,鋼筋混凝土(RC),yes,10.40,2CDQP72EQ7,1163317277
,,10.39,,37.6,35.3,409.2,,鋼筋混凝土(RC),yes,10.39,2C90472M7P,1119820868
,,10.25,,20.7,20.3,186.8,,鋼筋混凝土(RC),yes,10.25,2C8J472MDT,375212711
小吃部,,10.04,,26.3,26.2,588.2,,鋼筋混凝土(RC),yes,10.04,2C2SE72N2E,749979081
,,10.02,,40.1,41.4,833.4,,金屬/混合,yes,10.02,2C70H72PA4,729377566
,,9.99,,25.9,26.9,272.9,,鋼筋混凝土(RC),yes,9.99,2C82H72M85,544981712
教室大樓,,9.99,,40.2,39.1,975.0,,鋼筋混凝土(RC),yes,9.99,2CAXG72KVD,1230260815
靜齋,Dormitory Jing,9.88,,42.4,62.1,1464.5,,鋼筋混凝土(RC),dormitory,9.88,2C0P472MNW,180546697
名人堂,Guest House I: Pai Ling Hall,9.87,,45.2,23.3,745.7,,鋼筋混凝土(RC),university,9.87,2C2CR72PD8,180522514
,,9.86,,41.8,62.7,963.3,,鋼筋混凝土(RC),industrial,9.86,2CDKL72D76,217839174
,,9.62,,41.0,38.0,904.8,,金屬/混合,yes,9.62,2C1PW72E2X,1058253149
,,9.61,,21.1,12.6,224.4,,鋼筋混凝土(RC),house,9.61,2C96072KL8,257198644
平齋,Dormitory Ping,9.55,,46.6,12.6,517.7,,鋼筋混凝土(RC),dormitory,9.55,2C2K172MUF,180546707
,,9.28,,30.5,28.9,300.1,,鋼筋混凝土(RC),yes,9.28,2C93D72MWK,1119820870
,,9.21,,20.1,19.9,177.1,,鋼筋混凝土(RC),yes,9.21,2C8L972M7U,375212710
第六宿舍,,9.11,,36.0,36.1,600.8,,鋼筋混凝土(RC),dormitory,9.11,2CB5D72LH7,537346912
,Gas bottle storage,9.1,1,17.1,16.8,130.4,130.0,金屬/混合,shed,9.10,2C3FS729PA,970836782
,,8.91,,61.0,52.5,1119.5,,磚造,industrial,8.91,2C6TV72Q63,377273401
,,8.78,,29.2,28.9,474.3,,鋼筋混凝土(RC),yes,8.78,2C81J72NKF,727702102
,,8.72,,39.6,34.5,647.8,,磚造,yes,8.72,2C7HV72P2E,727702104
,,8.59,,24.6,19.6,265.4,,磚造,house,8.59,2CAEE72KHR,257198636
善齋,Dormitory Shan,8.1,,31.4,12.0,358.4,,鋼筋混凝土(RC),dormitory,8.10,2C31L72MEW,180546702
,,8.05,,19.0,9.0,144.6,,鋼筋混凝土(RC),yes,8.05,2C9K072P13,920173643
小吃部,Food Court,7.8,,28.8,37.7,1058.2,,金屬/混合,university,7.80,2C2N072NDX,158391363
,,7.79,,23.2,22.3,265.4,,金屬/混合,industrial,7.79,2CAMJ72EGQ,272402303
,,7.64,,15.2,11.8,162.7,,鋼筋混凝土(RC),yes,7.64,2C4M772C2S,1184849783
合勤演藝廳,ZyXEL Auditorium,7.57,,42.6,28.5,830.4,,鋼筋混凝土(RC),university,7.57,2C3L672PWW,254990717
慧齋,Dormitory Huei,7.19,,53.4,35.3,1384.3,,鋼筋混凝土(RC),dormitory,7.19,2C0XN72MCR,180546710
,,7.08,,35.1,24.5,397.7,,鋼筋混凝土(RC),yes,7.08,2C8B672NCJ,729377565
,,7.06,,18.7,25.8,254.4,,鋼筋混凝土(RC),house,7.06,2C8CP72L4C,257198638
,,6.96,,24.3,18.6,244.9,,鋼筋混凝土(RC),house,6.96,2C9U772KWX,257198633
,,6.96,,19.8,9.8,185.0,,鋼筋混凝土(RC),yes,6.96,2C9DB72NSW,1120544148
,,6.91,,24.3,16.1,209.3,,鋼筋混凝土(RC),house,6.91,2CA4G72KNL,257198635
,,6.87,,30.7,25.1,466.6,,鋼筋混凝土(RC),house,6.87,2C9S572KHT,257198637
警衛室,,6.86,,14.7,18.2,136.7,,金屬/混合,gatehouse,6.86,2C46P72C1Q,383241556
,,6.83,,21.3,10.5,195.3,,鋼筋混凝土(RC),yes,6.83,2C9K372NPL,920173642
社團辦公室,Societies Office,6.81,,44.4,54.2,773.2,,鋼筋混凝土(RC),university,6.81,2C3K372NDG,180607992
,,6.73,,19.8,10.5,192.3,,鋼筋混凝土(RC),yes,6.73,2C9B372NEQ,1120544147
明齋,Dormitory Ming,6.66,,50.5,12.2,529.1,,鋼筋混凝土(RC),dormitory,6.66,2C2RV72MUG,180546705
,,6.65,,24.1,17.6,225.9,,鋼筋混凝土(RC),house,6.65,2CABH72KJX,257198645
,,6.62,,21.7,11.0,210.8,,鋼筋混凝土(RC),yes,6.62,2C9BQ72N5T,1120544143
,,6.6,,20.1,11.5,215.1,,鋼筋混凝土(RC),yes,6.60,2CA2U72NG7,1120544145
,,6.56,,20.5,9.9,187.4,,鋼筋混凝土(RC),yes,6.56,2C9LJ72N65,1120544142
,,6.54,,19.2,10.1,174.2,,鋼筋混凝土(RC),yes,6.54,2C9L472NFE,1119820875
阿羅哈客運新竹站,,6.5,,21.2,22.4,227.1,,金屬/混合,bus_station,6.50,2CDFJ72JKL,217850261
三合院,Three-Section Compound,5.0,,14.6,17.9,252.2,,,house,,,180607981
兆豐國際商業銀行,Mega International Commercial Bank,5.0,,29.2,38.2,885.0,,,industrial,,,188082627
光明福德宮,,5.0,,13.9,12.8,90.3,,,temple,,,217709864
鈺創,,5.0,,97.2,86.8,4513.7,,,industrial,,,217711051
,,5.0,,32.1,71.2,1017.9,,,yes,,,217850260
燦坤3C,Tsannkuen 3C,5.0,,47.6,19.6,874.2,,,yes,,,225951791
園區員工診所,,5.0,,32.6,28.0,724.9,,,industrial,,,255176493
智易科技,,5.0,,57.0,105.5,3542.2,,,industrial,,,256900769
,,5.0,,23.4,14.0,185.7,,,house,,,257198643
,,5.0,,27.7,20.8,277.3,,,house,,,257198646
,,5.0,,5.0,12.0,56.8,,,yes,,,531657897
,,5.0,,2.0,9.9,18.7,,,toilets,,,531658102
,,5.0,,25.7,15.1,159.4,,,industrial,,,618249464
,,5.0,,49.6,48.9,1225.9,,,yes,,,729377564
,,5.0,,21.0,9.3,137.0,,,roof,,,774031999
,,5.0,,25.9,30.8,394.1,,,yes,,,779854513
,,5.0,,18.5,20.9,203.7,,,yes,,,779854514
影咖啡 Inn Caffe將軍村門市,,5.0,,25.1,30.6,314.5,,,yes,,,779854516
,,5.0,,54.8,80.2,2037.2,,,apartments,,,797855963
,,5.0,,55.9,48.7,949.0,,,apartments,,,797855966
,,5.0,,17.5,7.1,104.6,,,yes,,,1060179860
,,5.0,,10.9,23.7,244.5,,,yes,,,1060264592
,,5.0,,129.2,14.9,231.9,,,yes,,,1073126720
,,5.0,,11.7,11.6,105.5,,,yes,,,1075268912
,,5.0,,4.1,4.1,16.3,,,yes,,,1075272386
,,5.0,,25.7,4.5,96.8,,,yes,,,1075281719
小木屋鬆餅,,5.0,,23.9,10.1,219.3,,,yes,,,1103145980
24k,,5.0,,49.0,20.0,873.0,,,yes,,,1103145982
,,5.0,,13.4,11.7,99.1,,,yes,,,1119820871
,,5.0,,13.9,12.6,100.5,,,yes,,,1119820872
,,5.0,,15.6,14.2,118.3,,,yes,,,1119820873
,,5.0,,19.9,9.8,176.5,,,yes,,,1119820876
,,5.0,,38.0,14.9,542.2,,,yes,,,1119821246
,,5.0,,11.4,10.6,116.0,,,yes,,,1119821247
,,5.0,,20.6,11.6,200.4,,,yes,,,1120544144
,,5.0,,37.5,37.0,665.9,,,yes,,,1120544150
高通,Qualcomm,5.0,,55.0,47.1,2029.8,,,industrial,,,1158164743
,,5.0,,22.7,16.8,231.3,,,yes,,,1163317278
捷英文物館,,5.0,,36.9,44.3,846.2,,,yes,,,1298767173
研教四區,,5.0,,52.1,102.3,2852.7,,,university,,,1348996052
研教五區,,5.0,,54.8,57.1,1216.6,,,university,,,1348996053
台灣中油,"CPC Corporation, Taiwan",4.67,,49.2,44.7,1117.8,,金屬/混合,yes,4.67,2CDFS72KWM,284794349
,,4.51,,19.5,19.3,163.6,,磚造,yes,4.51,2C6G372M7M,1314760814
,Accelerator Test Area Building,4.43,,36.5,43.3,648.9,,鋼筋混凝土(RC),industrial,4.43,2C4VW72BQM,969460918
,,4.38,,19.1,20.8,189.0,,鋼筋混凝土(RC),yes,4.38,2C6SF72NLC,729377557
,,4.34,,20.2,9.7,178.3,,鋼筋混凝土(RC),yes,4.34,2C9PV72MW8,1120544141
電工房,,4.32,,19.9,21.5,257.3,,鋼筋混凝土(RC),yes,4.32,2C26B72N6N,1060178846
南大門,,4.28,,10.2,9.8,48.0,,鋼筋混凝土(RC),hut,4.28,2C2UV72D6H,1153751760
,,4.21,,16.3,17.2,190.4,,鋼筋混凝土(RC),yes,4.21,2C57072MF8,729377559
,,4.18,,56.1,52.7,1496.5,,磚造,yes,4.18,2C78R72PUU,727702106
,,4.16,,22.2,15.5,199.1,,鋼筋混凝土(RC),yes,4.16,2C71T72NHH,729377555
仙宮社區福德宮,,4.12,,8.2,8.2,33.4,,金屬/混合,yes,4.12,2BXKG72CRA,1165031199
,,4.0,,20.4,15.3,196.6,,鋼筋混凝土(RC),yes,4.00,2C6PH72N30,729377560
,,3.98,,21.1,21.2,224.8,,磚造,yes,3.98,2CC5F72Q0K,779854517
,,3.83,,18.9,21.2,306.5,,鋼筋混凝土(RC),yes,3.83,2C4TV72MEW,729377554
司令台,Stage,3.5,1,10.0,39.1,350.8,351.0,,shed,,,257198657
茶曇,,3.5,,6.4,6.6,20.4,,,yes,,,588277339
拉亞漢堡,Laya Burger,3.5,,6.5,6.6,21.1,,,yes,,,588277340
,,3.5,,5.8,6.0,16.2,,,yes,,,588277341
Morning House早餐,Morning-House Breakfasts,3.5,,7.1,6.9,24.4,,,yes,,,588277342
,,3.5,,7.1,7.0,24.5,,,yes,,,588277343
,,3.5,1,39.5,10.0,177.0,177.0,,shed,,,970836786
交大學人宿舍,,3.49,,52.5,54.1,734.7,,鋼筋混凝土(RC),dormitory,3.49,2C8G472JAM,286652654
仁齋,Dormitory Jen,3.31,4,63.8,22.8,1112.0,4448.0,金屬/混合,dormitory,3.31,2C5DN72LQA,180546703
,,3.0,,32.7,10.9,216.1,,,warehouse,,,694638213
