建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
,,32.6,,64.1,55.2,1914.9,,鋼筋混凝土(RC),industrial,32.60,2BXH6728LX,187807230
頎邦科技展業一廠,Chipbond Technology Corporation,32.27,6,55.3,103.3,3850.4,23102.0,鋼筋混凝土(RC),industrial,32.27,2CC7S72DCA,217711046
新代科技,,32.26,,143.8,94.8,6378.3,,鋼筋混凝土(RC),industrial,32.26,2C909728FP,217704601
學十二舍,Student Dormitory 12,32.1,7,58.0,49.1,1057.5,7402.0,鋼筋混凝土(RC),dormitory,32.10,2C52472CU2,203099357
,,32.02,,27.7,26.2,464.1,,鋼筋混凝土(RC),residential,32.02,2C7MB72K23,286652652
,,31.64,,29.6,25.1,441.8,,鋼筋混凝土(RC),residential,31.64,2C7H772K0V,286652787
台灣光罩,,31.45,,87.8,99.6,4180.8,,鋼筋混凝土(RC),industrial,31.45,2CCA072FGR,217704598
,,31.32,,24.1,23.7,289.0,,鋼筋混凝土(RC),yes,31.32,2CB9672NG3,1070588297
管理二館,Management Building 2,30.4,6,37.3,73.9,1852.6,11116.0,鋼筋混凝土(RC),university,30.40,2C7V872E3Q,134753729
工程三館,Engineering Building 3,30.16,8,52.3,73.0,2270.3,18162.0,鋼筋混凝土(RC),university,30.16,2C6HU72FK0,134752749
T-house,,29.63,,5.6,11.1,57.7,,鋼筋混凝土(RC),yes,29.63,2C4AK72KVM,585282248
,,29.44,,21.2,19.5,263.8,,鋼筋混凝土(RC),residential,29.44,2C85A72JUT,286652785
人社三館,HA Building 3,29.17,6,41.8,41.7,1614.8,9689.0,鋼筋混凝土(RC),university,29.17,2C9BV72EU2,256900770
儒齋,,29.07,,88.8,53.4,1269.9,,鋼筋混凝土(RC),dormitory,29.07,2C42M72KNL,544134860
雅齋,Dormitory Ya,28.95,,50.1,54.0,2322.9,,鋼筋混凝土(RC),dormitory,28.95,2C15D72MXQ,180546709
,,28.69,,33.2,23.8,486.7,,鋼筋混凝土(RC),residential,28.69,2C7SC72JWP,286652788
瑞昱半導體,Realtek,28.61,6,138.8,139.9,9113.3,54680.0,鋼筋混凝土(RC),commercial,28.61,2C4RU72841,217686000
,,28.41,,20.2,19.0,190.0,,鋼筋混凝土(RC),residential,28.41,2C89F72JF3,286652780
綠色低碳能源大樓,Green Energy Building,28.32,6,37.9,47.8,1347.0,8082.0,鋼筋混凝土(RC),university,28.32,2C0X972KU6,180607985
生命科學一館,Life Science Building I,28.29,,70.9,40.3,1083.3,,鋼筋混凝土(RC),university,28.29,2C00V72JTC,180607993
,,28.21,,22.4,19.3,225.2,,鋼筋混凝土(RC),residential,28.21,2C8A572JPC,286652781
科學二館,Science Building 2,28.11,5,53.1,49.5,2225.9,11130.0,鋼筋混凝土(RC),university,28.11,2C64472HVX,134752912
,,27.68,,30.2,30.8,394.8,,鋼筋混凝土(RC),yes,27.68,2C74U72LGB,257198651
新竹市召會學生中心,,27.67,6,18.9,19.8,184.9,1109.0,鋼筋混凝土(RC),residential,27.67,2C8A972JF6,286652778
學齋,Dormitory Shiue,27.6,,54.3,106.0,1682.9,,鋼筋混凝土(RC),dormitory,27.60,2C2UL72JT5,180546699
揚明光學,,27.5,,351.6,142.8,36646.0,,鋼筋混凝土(RC),industrial,27.50,2C9BG72A8B,217677907
,,27.16,,26.5,24.1,408.9,,鋼筋混凝土(RC),residential,27.16,2C8CL72JSN,286652782
環境工程研究所,,26.87,4,59.7,33.2,1854.5,7418.0,鋼筋混凝土(RC),university,26.87,2C5MM72KF9,138080039
,,26.72,,20.8,25.4,284.7,,鋼筋混凝土(RC),residential,26.72,2C7BB72K6R,286652828
梅竹會館,,26.69,,25.4,23.0,342.5,,鋼筋混凝土(RC),residential,26.69,2C86672JLQ,286652589
土木結構實驗室,Civil Engineering Lab,25.22,5,47.9,47.1,2226.4,11132.0,鋼筋混凝土(RC),university,25.22,2C7HE72C4S,203126709
學生十一舍,,25.01,5,48.9,33.5,750.7,3754.0,鋼筋混凝土(RC),dormitory,25.01,2C6QQ72K8F,158364470
劉炯朗館,Chung Laung Liu Building,25.0,8,55.9,65.1,2499.0,19992.0,,university,,,180522501
高能光電實驗室,Relativistic Photonics Laboratory,24.75,,16.9,30.5,487.2,,鋼筋混凝土(RC),university,24.75,2C17M72HN3,180607991
,,24.75,4,29.4,25.8,384.0,1536.0,鋼筋混凝土(RC),residential,24.75,2CC3672HB3,258627989
新體育館,New Stadium,24.65,,41.6,64.2,2560.7,,鋼筋混凝土(RC),university,24.65,2C13B72NW7,180522513
,,24.5,,11.7,12.7,84.0,,鋼筋混凝土(RC),yes,24.50,2C2X472JSN,1056453011
,,24.36,,27.2,29.9,302.8,,鋼筋混凝土(RC),residential,24.36,2C82U72JEU,286652779
台楊科技,,24.06,,134.7,151.1,13568.1,,鋼筋混凝土(RC),industrial,24.06,2C5A9729ND,217677908
學生活動中心,,23.8,6,116.5,63.5,4734.9,28409.0,鋼筋混凝土(RC),university,23.80,2C8T172FDD,580292159
國家高速網路與計算中心,National Center for High-performance Computing,23.59,4,93.6,103.2,4199.3,16797.0,鋼筋混凝土(RC),industrial,23.59,2C52D72B5F,188022071
,,23.55,,35.1,30.2,606.1,,鋼筋混凝土(RC),residential,23.55,2C92F72JRL,286652784
大學涵館,,23.35,,14.6,13.9,95.1,,鋼筋混凝土(RC),residential,23.35,2C89A72JLB,286652396
中正堂,Chung Cheng Auditorium,23.16,4,60.3,67.4,3154.4,12618.0,鋼筋混凝土(RC),university,23.16,2C81272HHX,134752408
工科館,Engineering and System Science Building,23.15,,100.3,21.5,1907.7,,鋼筋混凝土(RC),university,23.15,2C0V972L8T,180607990
台灣應用材料,,23.01,,82.8,79.8,3446.9,,鋼筋混凝土(RC),industrial,23.01,2CAVR7291Q,217704600
,,22.89,,19.8,17.0,193.5,,鋼筋混凝土(RC),residential,22.89,2C7UX72K01,286652786
蒙民偉樓,,22.68,,22.2,44.0,664.1,,鋼筋混凝土(RC),university,22.68,2C1EG72NUB,180522527
太空計畫室測試大樓,,22.43,,115.9,80.4,6171.8,,鋼筋混凝土(RC),industrial,22.43,2CBF672D86,217677912
博學苑,,22.37,,24.2,23.8,289.9,,鋼筋混凝土(RC),residential,22.37,2C8CF72JGJ,286652395
九期丙棟,,22.28,,49.9,50.9,1731.9,,鋼筋混凝土(RC),industrial,22.28,2CB3X72B27,217711044
風雲樓,Feng Yun Building,22.15,,61.2,48.2,1684.5,,鋼筋混凝土(RC),university,22.15,2C45F72MH9,138080029
九期丁棟,,22.0,,39.7,46.2,1145.6,,鋼筋混凝土(RC),commercial,22.00,2CAJL72BAN,272396534
