Total buildings: 319
Named buildings: 185

24k [levels:?, type:yes]
生醫工程與環境科學館 (Biomedical Engineering and Environmental Sciences Building) [levels:?, type:university]
田家炳光電大樓 (Tin Ka-Ping Photonic Building) [levels:8, type:university]
矽品精密新竹分公司一廠 [levels:?, type:industrial]
研一舍 [levels:4, type:dormitory]
研三舍 [levels:11, type:dormitory]
研二舍 (Graduate Student Dormitory 2) [levels:8, type:dormitory]
研光大樓 (Research Building) [levels:?, type:industrial]
研教五區 [levels:?, type:university]
研教四區 [levels:?, type:university]
碩齋 (Dormitory Shuo) [levels:?, type:dormitory]
社團辦公室 (Societies Office) [levels:?, type:university]
禮齋 (Dormitory Li) [levels:?, type:dormitory]
科儀中心 (Scientific Instrument Center) [levels:?, type:university]
科學一館 (Science Building 1) [levels:3, type:university]
科學二館 (Science Building 2) [levels:5, type:university]
竹科同業工會 [levels:?, type:industrial]
竹軒宿舍 (Chu-Hsuan Female Dormitory 1) [levels:3, type:dormitory]
第一宿舍 [levels:?, type:dormitory]
第一招待所 (Guesthouse 1) [levels:4, type:hotel]
第一綜合大樓: 行政大樓 (General Building I: University Administration) [levels:?, type:university]
第三宿舍 [levels:?, type:dormitory]
第三招待所 (3rd Guest House) [levels:3, type:apartments]
第三綜合大樓 (General Building III) [levels:?, type:university]
第二宿舍 [levels:?, type:dormitory]
第二綜合大樓 (General Building II) [levels:?, type:university]
第二餐廳 [levels:3, type:university]
第五宿舍 [levels:?, type:dormitory]
第六宿舍 [levels:?, type:dormitory]
第四宿舍 [levels:?, type:dormitory]
管理一館 [levels:3, type:university]
管理二館 (Management Building 2) [levels:6, type:university]
綜合一館 [levels:11, type:university]
綜合球館 (Composite Sports Building) [levels:3, type:permanent]
綠色低碳能源大樓 (Green Energy Building) [levels:6, type:university]
羅技 (Logitech) [levels:?, type:industrial]
義齋 (Dormitory Yi) [levels:?, type:dormitory]
羽球館 (Badminton Building) [levels:1, type:permanent]
茶曇 [levels:?, type:yes]
華齋 (Dormitory Hua) [levels:?, type:dormitory]
蒙民偉樓 [levels:?, type:university]
行政大樓 (Administration Building) [levels:2, type:university]
誠齋 (Dormitory Cheng) [levels:?, type:dormitory]
警衛室 [levels:?, type:gatehouse]
資訊技術服務中心 (Information Technology Service Center) [levels:3, type:university]
鈺創 [levels:?, type:industrial]
防災工程研究中心 [levels:2, type:university]
阿嬤の飯桶 [levels:?, type:yes]
阿羅哈客運新竹站 [levels:?, type:bus_station]
雅砌 [levels:?, type:residential]
雅齋 (Dormitory Ya) [levels:?, type:dormitory]
電子資訊大樓 (Microelectronics and Information Systems Research Center) [levels:8, type:permanent]
電工房 [levels:?, type:yes]
靜齋 (Dormitory Jing) [levels:?, type:dormitory]
順發3C (SUNFAR) [levels:?, type:yes]
頎邦科技展業一廠 (Chipbond Technology Corporation) [levels:6, type:industrial]
頎邦科技展業二廠 (Chipbond Technology Corporation) [levels:9, type:industrial]
風雲樓 (Feng Yun Building) [levels:?, type:university]
駐衛警察隊 [levels:?, type:yes]
體育館 (Gymnasium) [levels:2, type:university]
高能光電實驗室 (Relativistic Photonics Laboratory) [levels:?, type:university]
高通 (Qualcomm) [levels:?, type:industrial]
